#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Ba II |  2| |-0.20|-0.10| 0.07| 0.15| 0.20| 0.12|G025-024
La II |  4|<|-0.41| 0.77|     |     |     |     |G025-024
Ce II |  5|<| 0.16| 0.86|     |     |     |     |G025-024
Pr II |  4|<|-0.28| 1.28|     |     |     |     |G025-024
Nd II |  5|<| 0.08| 0.94|     |     |     |     |G025-024
Sm II |  2|<| 0.06| 1.38|     |     |     |     |G025-024
Eu II |  3|<|-1.06| 0.70|     |     |     |     |G025-024
Gd II |  3|<| 0.46| 1.67|     |     |     |     |G025-024
Tb II |  2|<| 0.27| 2.25|     |     |     |     |G025-024
Dy II |  2|<| 0.21| 1.39|     |     |     |     |G025-024
Ho II |  1|<| 1.13| 2.93|     |     |     |     |G025-024
Tm II |  1|<| 1.39| 3.57|     |     |     |     |G025-024
Hf II |  1|<| 0.81| 2.24|     |     |     |     |G025-024
Pb I  |  1|<| 2.06| 2.13|     |     |     |     |G025-024
Th II |  2|<| 0.03| 2.25|     |     |     |     |G025-024
Fe I  | 66| | 5.42|-2.08| 0.06| 0.20| 0.00| 0.00|G026-001
Fe II |  9| | 5.56|-1.94| 0.06| 0.14| 0.00| 0.00|G026-001
Li I  |  1| | 2.03|     | 0.06| 0.20| 0.09| 0.20|G026-001
C (CH)|  1| | 6.42|-0.08| 0.15| 0.25| 0.19| 0.19|G026-001
N (CN)|  1|<| 7.40| 1.50|     |     |     |     |G026-001
O I   |  1| | 7.30| 0.69| 0.04| 0.19| 0.08| 0.20|G026-001
Na I  |  1| | 4.36| 0.20| 0.15| 0.24| 0.17| 0.25|G026-001
Mg I  |  3| | 5.92| 0.39| 0.06| 0.22| 0.09| 0.22|G026-001
Al I  |  1| | 3.58|-0.79| 0.09| 0.33| 0.20| 0.29|G026-001
Si I  |  1| | 5.81| 0.38| 0.19| 0.27| 0.20| 0.27|G026-001
Ca I  | 10| | 4.74| 0.48| 0.10| 0.23| 0.12| 0.23|G026-001
Sc II |  6| | 1.24| 0.03| 0.07| 0.14| 0.20| 0.09|G026-001
Ti I  |  9| | 3.21| 0.33| 0.06| 0.20| 0.09| 0.20|G026-001
Ti II | 25| | 3.42| 0.41| 0.06| 0.14| 0.20| 0.09|G026-001
V II  |  1| | 2.25| 0.26| 0.20| 0.24| 0.28| 0.21|G026-001
Cr I  |  5| | 3.45|-0.12| 0.06| 0.20| 0.08| 0.20|G026-001
Cr II |  3| | 3.94| 0.24| 0.07| 0.14| 0.21| 0.09|G026-001
Mn I  |  4| | 3.02|-0.33| 0.06| 0.23| 0.10| 0.22|G026-001
Co I  |  2| | 2.86|-0.05| 0.12| 0.23| 0.13| 0.23|G026-001
Ni I  |  4| | 4.28| 0.14| 0.13| 0.23| 0.14| 0.23|G026-001
Zn I  |  2| | 2.75| 0.27| 0.06| 0.20| 0.09| 0.20|G026-001
Rb I  |  1|<| 2.34| 1.90|     |     |     |     |G026-001
Sr II |  2| | 1.22| 0.29| 0.04| 0.20| 0.19| 0.22|G026-001
Y II  |  2| | 0.03|-0.24| 0.10| 0.16| 0.22| 0.12|G026-001
Zr II |  3| | 1.08| 0.44| 0.07| 0.14| 0.21| 0.09|G026-001
Nb II |  1|<| 1.31| 1.79|     |     |     |     |G026-001
Mo I  |  1|<| 1.15| 1.35|     |     |     |     |G026-001
Tc I  |  1|<| 1.04|     |     |     |     |     |G026-001
Sn I  |  1|<| 2.93| 2.94|     |     |     |     |G026-001
Ba II |  3| | 0.02|-0.22| 0.07| 0.15| 0.20| 0.10|G026-001
La II |  1|<|-0.58| 0.26|     |     |     |     |G026-001
Ce II |  4|<|-0.02| 0.34|     |     |     |     |G026-001
Pr II |  1|<| 0.30| 1.52|     |     |     |     |G026-001
Sm II |  2|<|-0.29| 0.69|     |     |     |     |G026-001
Eu II |  2| |-1.17| 0.25| 0.11| 0.17| 0.22| 0.12|G026-001
Gd II |  2|<|-0.12| 0.75|     |     |     |     |G026-001
Tb II |  2|<| 0.35| 1.99|     |     |     |     |G026-001
Dy II |  1|<| 0.45| 1.29|     |     |     |     |G026-001
Er II |  2|<|-0.11| 0.91|     |     |     |     |G026-001
Tm II |  2|<|-0.75| 1.09|     |     |     |     |G026-001
Yb II |  1| |-0.98| 0.04| 0.14| 0.19| 0.24| 0.15|G026-001
Hf II |  2|<| 0.60| 1.69|     |     |     |     |G026-001
Pb I  |  1|<| 1.70| 1.74|     |     |     |     |G026-001
Fe I  | 39| | 3.92|-3.58| 0.09| 0.21| 0.00| 0.00|G064-012
Fe II |  2| | 4.11|-3.39| 0.10| 0.16| 0.00| 0.00|G064-012
Li I  |  1| | 2.08|     | 0.06| 0.20| 0.11| 0.22|G064-012
C (CH)|  1|<| 5.95| 0.91|     |     |     |     |G064-012
N (NH)|  1|<| 6.60| 2.16|     |     |     |     |G064-012
O I   |  3|<| 5.76| 0.65|     |     |     |     |G064-012
Na I  |  1| | 2.60|-0.06| 0.11| 0.22| 0.14| 0.24|G064-012
Mg I  |  6| | 4.52| 0.50| 0.09| 0.23| 0.13| 0.24|G064-012
Al I  |  2| | 2.28|-0.59| 0.10| 0.21| 0.13| 0.23|G064-012
Si I  |  1| | 4.32| 0.39| 0.16| 0.32| 0.24| 0.32|G064-012
Ca I  |  9| | 3.38| 0.62| 0.14| 0.24| 0.17| 0.25|G064-012
Sc II |  1| |-0.48|-0.24| 0.07| 0.14| 0.22| 0.12|G064-012
Ti I  |  4| | 2.07| 0.70| 0.17| 0.26| 0.20| 0.27|G064-012
Ti II |  9| | 1.67| 0.11| 0.08| 0.15| 0.22| 0.13|G064-012
V II  |  1|<| 1.36| 0.82|     |     |     |     |G064-012
Cr I  |  3| | 1.85|-0.20| 0.09| 0.21| 0.13| 0.23|G064-012
Mn I  |  1| | 1.20|-0.65| 0.20| 0.27| 0.22| 0.29|G064-012
Mn II |  1| | 1.57|-0.47| 0.16| 0.25| 0.28| 0.24|G064-012
Co I  |  2| | 1.75| 0.34| 0.23| 0.30| 0.25| 0.31|G064-012
Ni I  |  4| | 2.77| 0.14| 0.18| 0.26| 0.20| 0.28|G064-012
Zn I  |  2|<| 1.97| 0.99|     |     |     |     |G064-012
Rb I  |  1|<| 2.48| 3.54|     |     |     |     |G064-012
Sr II |  2| |-0.61|-0.10| 0.05| 0.14| 0.21| 0.12|G064-012
Y II  |  6|<|-1.05| 0.13|     |     |     |     |G064-012
Zr II |  3|<| 0.05| 0.86|     |     |     |     |G064-012
Nb II |  1|<| 1.34| 3.27|     |     |     |     |G064-012
Mo I  |  1|<| 0.91| 2.61|     |     |     |     |G064-012
Tc I  |  1|<| 1.26|     |     |     |     |     |G064-012
Ba II |  1| |-1.67|-0.46| 0.10| 0.16| 0.23| 0.14|G064-012
Ce II |  5|<|-0.05| 1.76|     |     |     |     |G064-012
Pr II |  5|<|-0.55| 2.12|     |     |     |     |G064-012
Nd II |  5|<|-0.41| 1.56|     |     |     |     |G064-012
Sm II |  2|<|-0.25| 2.18|     |     |     |     |G064-012
Eu II |  4|<|-1.42| 1.45|     |     |     |     |G064-012
Gd II |  3|<| 0.04| 2.36|     |     |     |     |G064-012
Tb II |  4|<|-0.29| 2.80|     |     |     |     |G064-012
Dy II |  3|<|-0.47| 1.82|     |     |     |     |G064-012
Ho II |  1|<|-0.76| 2.15|     |     |     |     |G064-012
Er II |  3|<|-0.36| 2.11|     |     |     |     |G064-012
Tm II |  2|<|-0.60| 2.69|     |     |     |     |G064-012
Yb II |  1|<|-1.17| 1.30|     |     |     |     |G064-012
Hf II |  2|<| 0.41| 2.95|     |     |     |     |G064-012
Pb I  |  1|<| 1.46| 3.00|     |     |     |     |G064-012
Th II |  3|<|-0.66| 2.67|     |     |     |     |G064-012
Fe I  |102| | 5.44|-2.06| 0.06| 0.21| 0.00| 0.00|G071-055
Fe II | 11| | 5.68|-1.82| 0.07| 0.14| 0.00| 0.00|G071-055
Li I  |  1| | 2.14|     | 0.05| 0.20| 0.08| 0.20|G071-055
C (CH)|  1| | 6.19|-0.44| 0.15| 0.25| 0.19| 0.19|G071-055
N (CN)|  1|<| 7.15| 1.12|     |     |     |     |G071-055
O I   |  3| | 7.34| 0.71| 0.06| 0.20| 0.09| 0.20|G071-055
Mg I  |  4| | 5.88| 0.33| 0.05| 0.23| 0.10| 0.22|G071-055
Al I  |  1| | 3.54|-0.85| 0.09| 0.33| 0.19| 0.28|G071-055
Si I  |  2| | 5.88| 0.43| 0.19| 0.27| 0.21| 0.27|G071-055
Ca I  | 12| | 4.70| 0.42| 0.10| 0.24| 0.13| 0.23|G071-055
Sc II |  6| | 1.28|-0.05| 0.05| 0.14| 0.20| 0.09|G071-055
Ti I  | 15| | 3.09| 0.20| 0.06| 0.20| 0.09| 0.20|G071-055
Ti II | 25| | 3.40| 0.27| 0.05| 0.14| 0.20| 0.09|G071-055
V I   |  1| | 1.85|-0.02| 0.11| 0.22| 0.13| 0.22|G071-055
V II  |  2| | 2.22| 0.11| 0.19| 0.23| 0.28| 0.20|G071-055
Cr I  | 11| | 3.44|-0.14| 0.06| 0.20| 0.09| 0.20|G071-055
Cr II |  3| | 4.07| 0.25| 0.06| 0.14| 0.21| 0.10|G071-055
Mn I  |  6| | 3.06|-0.32| 0.05| 0.21| 0.08| 0.20|G071-055
Co I  |  2| | 2.80|-0.14| 0.12| 0.27| 0.16| 0.26|G071-055
Ni I  | 11| | 4.29| 0.12| 0.12| 0.23| 0.14| 0.23|G071-055
Cu I  |  1|<| 1.50|-0.63|     |     |     |     |G071-055
Zn I  |  3| | 2.76| 0.26| 0.07| 0.20| 0.10| 0.21|G071-055
Sr II |  2| | 1.00|-0.05| 0.04| 0.19| 0.18| 0.20|G071-055
Y II  |  4| | 0.07|-0.32| 0.10| 0.16| 0.22| 0.12|G071-055
Zr II |  3| | 0.75|-0.01| 0.06| 0.14| 0.21| 0.10|G071-055
Nb II |  1|<| 0.96| 1.32|     |     |     |     |G071-055
Mo I  |  1|<| 0.45| 0.63|     |     |     |     |G071-055
Sn I  |  1|<| 1.83| 1.82|     |     |     |     |G071-055
Ba II |  3| | 0.33|-0.03| 0.06| 0.13| 0.19| 0.09|G071-055
La II |  4| |-0.61| 0.11| 0.11| 0.17| 0.23| 0.14|G071-055
Ce II |  1| |-0.27|-0.03| 0.32| 0.34| 0.38| 0.33|G071-055
Nd II |  3| |-0.28| 0.11| 0.17| 0.21| 0.26| 0.18|G071-055
Eu II |  4| |-1.02| 0.27| 0.08| 0.15| 0.21| 0.11|G071-055
Gd II |  1| |-0.17| 0.58| 0.19| 0.23| 0.28| 0.21|G071-055
Dy II |  2| |-0.15| 0.57| 0.09| 0.16| 0.22| 0.12|G071-055
Er II |  2| |-0.76| 0.14| 0.27| 0.30| 0.33| 0.28|G071-055
Tm II |  2|<|-0.84| 0.88|     |     |     |     |G071-055
Yb II |  1| |-0.92|-0.02| 0.12| 0.18| 0.23| 0.14|G071-055
Hf II |  2|<|-0.06| 0.91|     |     |     |     |G071-055
Ir I  |  1|<| 1.31| 1.99|     |     |     |     |G071-055
Pb I  |  1|<| 1.51| 1.53|     |     |     |     |G071-055
Fe I  | 72| | 5.15|-2.35| 0.09| 0.21| 0.00| 0.00|G075-056
Fe II |  9| | 5.20|-2.30| 0.09| 0.15| 0.00| 0.00|G075-056
Li I  |  1| | 2.23|     | 0.07| 0.20| 0.12| 0.22|G075-056
C (CH)|  1| | 6.40| 0.29| 0.15| 0.25| 0.20| 0.20|G075-056
Mg I  |  6| | 5.59| 0.34| 0.11| 0.24| 0.15| 0.24|G075-056
Al I  |  2| | 3.13|-0.97| 0.19| 0.33| 0.26| 0.33|G075-056
Ca I  | 13| | 4.47| 0.48| 0.12| 0.23| 0.15| 0.24|G075-056
Sc II |  2| | 0.92| 0.07| 0.11| 0.17| 0.23| 0.15|G075-056
Ti I  |  7| | 3.07| 0.47| 0.13| 0.23| 0.16| 0.24|G075-056
Ti II | 13| | 3.02| 0.37| 0.10| 0.16| 0.23| 0.14|G075-056
V II  |  2|<| 2.19| 0.56|     |     |     |     |G075-056
Cr I  |  4| | 3.18|-0.11| 0.11| 0.22| 0.14| 0.23|G075-056
Cr II |  1| | 3.62| 0.28| 0.09| 0.15| 0.22| 0.13|G075-056
Mn I  |  3| | 2.65|-0.43| 0.17| 0.26| 0.20| 0.27|G075-056
Co I  |  1| | 2.60|-0.04| 0.21| 0.29| 0.23| 0.29|G075-056
Ni I  |  1| | 3.91| 0.04| 0.12| 0.22| 0.15| 0.23|G075-056
Zn I  |  2|<| 2.39| 0.18|     |     |     |     |G075-056
Sr II |  2| | 0.67| 0.11| 0.13| 0.27| 0.29| 0.28|G075-056
Zr II |  2| | 0.82| 0.55| 0.27| 0.30| 0.34| 0.28|G075-056
Tc I  |  1|<| 1.80|     |     |     |     |     |G075-056
Ba II |  2| |-0.53|-0.40| 0.08| 0.15| 0.22| 0.12|G075-056
Ce II |  5|<| 0.31| 1.03|     |     |     |     |G075-056
Pr II |  5|<|-0.11| 1.47|     |     |     |     |G075-056
Nd II |  5|<| 0.19| 1.07|     |     |     |     |G075-056
Sm II |  2|<| 0.22| 1.56|     |     |     |     |G075-056
Eu II |  2|<|-0.93| 0.85|     |     |     |     |G075-056
Gd II |  3|<| 0.46| 1.69|     |     |     |     |G075-056
Tb II |  2|<| 0.34| 2.34|     |     |     |     |G075-056
Dy II |  2|<| 0.01| 1.21|     |     |     |     |G075-056
Ho II |  1|<|-0.07| 1.75|     |     |     |     |G075-056
Tm II |  1|<| 0.96| 3.16|     |     |     |     |G075-056
Hf II |  1|<| 0.94| 2.39|     |     |     |     |G075-056
Pb I  |  1|<| 2.17| 2.48|     |     |     |     |G075-056
Th II |  2|<| 0.24| 2.48|     |     |     |     |G075-056
Fe I  | 84| | 5.56|-1.94| 0.07| 0.11| 0.00| 0.00|G088-023
Fe II |  8| | 5.56|-1.94| 0.08| 0.14| 0.00| 0.00|G088-023
Li I  |  1| | 1.92|     | 0.07| 0.10| 0.10| 0.14|G088-023
C (CH)|  1| | 6.43|-0.05| 0.15| 0.25| 0.19| 0.20|G088-023
Mg I  |  5| | 5.95| 0.30| 0.08| 0.13| 0.11| 0.15|G088-023
Si I  |  1| | 6.18| 0.61| 0.18| 0.19| 0.19| 0.22|G088-023
Ca I  | 12| | 4.73| 0.34| 0.11| 0.16| 0.14| 0.18|G088-023
Sc II |  3| | 1.04|-0.17| 0.09| 0.15| 0.15| 0.12|G088-023
Ti I  | 10| | 3.17| 0.17| 0.07| 0.10| 0.10| 0.14|G088-023
Ti II | 17| | 3.28| 0.28| 0.08| 0.13| 0.14| 0.11|G088-023
V I   |  1| | 1.84|-0.15| 0.15| 0.17| 0.17| 0.20|G088-023
V II  |  1| | 2.20| 0.21| 0.28| 0.30| 0.31| 0.29|G088-023
Cr I  | 10| | 3.53|-0.17| 0.07| 0.10| 0.10| 0.14|G088-023
Cr II |  2| | 3.97| 0.27| 0.07| 0.14| 0.15| 0.11|G088-023
Mn I  |  7| | 3.11|-0.38| 0.08| 0.11| 0.11| 0.15|G088-023
Co I  |  1| | 2.88|-0.17| 0.17| 0.21| 0.19| 0.23|G088-023
Ni I  |  5| | 4.32| 0.05| 0.13| 0.15| 0.15| 0.18|G088-023
Cu I  |  1|<| 1.91|-0.34|     |     |     |     |G088-023
Zn I  |  2| | 2.73| 0.12| 0.08| 0.11| 0.11| 0.15|G088-023
Sr II |  2| | 1.04| 0.11| 0.11| 0.14| 0.14| 0.18|G088-023
Zr II |  3| | 0.93| 0.29| 0.29| 0.31| 0.32| 0.30|G088-023
Tc I  |  1|<| 1.59|     |     |     |     |     |G088-023
Ba II |  2| | 0.11|-0.13| 0.09| 0.13| 0.13| 0.13|G088-023
Ce II |  5|<|-0.03| 0.33|     |     |     |     |G088-023
Sm II |  2|<|-0.17| 0.81|     |     |     |     |G088-023
Eu II |  1| |-0.83| 0.59| 0.22| 0.25| 0.25| 0.23|G088-023
Gd II |  2|<| 0.50| 1.37|     |     |     |     |G088-023
Tb II |  2|<| 0.35| 1.99|     |     |     |     |G088-023
Dy II |  1|<| 0.47| 1.31|     |     |     |     |G088-023
Hf II |  1|<| 0.95| 2.04|     |     |     |     |G088-023
Pb I  |  1|<| 1.96| 1.86|     |     |     |     |G088-023
Fe I  | 93| | 5.10|-2.40| 0.06| 0.21| 0.00| 0.00|G090-003
Fe II | 12| | 5.26|-2.24| 0.07| 0.14| 0.00| 0.00|G090-003
Li I  |  1| | 2.20|     | 0.05| 0.20| 0.08| 0.20|G090-003
C (CH)|  1| | 5.94|-0.25| 0.15| 0.25| 0.19| 0.19|G090-003
N (CN)|  1|<| 7.25| 1.66|     |     |     |     |G090-003
O I   |  1| | 6.63| 0.34| 0.11| 0.22| 0.13| 0.23|G090-003
Na I  |  1| | 4.25| 0.41| 0.13| 0.23| 0.15| 0.23|G090-003
Mg I  |  4| | 5.51| 0.30| 0.05| 0.21| 0.08| 0.21|G090-003
Al I  |  1| | 3.84|-0.21| 0.09| 0.33| 0.19| 0.28|G090-003
Si I  |  1| | 5.61| 0.50| 0.21| 0.28| 0.22| 0.29|G090-003
K I   |  1| | 2.90| 0.27| 0.13| 0.23| 0.15| 0.23|G090-003
Ca I  | 12| | 4.35| 0.40| 0.11| 0.22| 0.12| 0.23|G090-003
Sc II |  6| | 0.91|-0.01| 0.08| 0.15| 0.21| 0.10|G090-003
Ti I  | 11| | 2.85| 0.29| 0.08| 0.21| 0.10| 0.21|G090-003
Ti II | 21| | 3.03| 0.32| 0.07| 0.14| 0.20| 0.10|G090-003
V I   |  1| | 1.55| 0.02| 0.13| 0.23| 0.15| 0.24|G090-003
V II  |  2| | 1.80| 0.11| 0.21| 0.25| 0.29| 0.23|G090-003
Cr I  | 10| | 3.07|-0.18| 0.09| 0.21| 0.11| 0.22|G090-003
Cr II |  2| | 3.55| 0.15| 0.07| 0.15| 0.21| 0.10|G090-003
Mn I  |  6| | 2.62|-0.42| 0.09| 0.22| 0.11| 0.22|G090-003
Co I  |  3| | 2.63| 0.04| 0.13| 0.24| 0.15| 0.24|G090-003
Ni I  |  5| | 3.93| 0.10| 0.14| 0.25| 0.16| 0.25|G090-003
Zn I  |  2| | 2.53| 0.37| 0.07| 0.20| 0.10| 0.21|G090-003
Sr II |  2| | 0.68| 0.04| 0.04| 0.24| 0.23| 0.24|G090-003
Y II  |  1| |-0.39|-0.36| 0.11| 0.17| 0.22| 0.13|G090-003
Zr II |  3| | 0.54| 0.19| 0.11| 0.17| 0.22| 0.13|G090-003
Nb II |  1|<| 0.96| 1.74|     |     |     |     |G090-003
Mo I  |  1|<| 0.61| 1.13|     |     |     |     |G090-003
Tc I  |  1|<| 0.67|     |     |     |     |     |G090-003
Ba II |  2| |-0.27|-0.21| 0.05| 0.14| 0.20| 0.10|G090-003
Ce II |  1| |-0.57| 0.09| 0.21| 0.25| 0.29| 0.22|G090-003
Pr II |  1|<|-0.40| 1.12|     |     |     |     |G090-003
Sm II |  2|<|-0.69| 0.59|     |     |     |     |G090-003
Eu II |  3| |-1.77|-0.05| 0.21| 0.25| 0.29| 0.23|G090-003
Gd II |  3|<|-0.29| 0.88|     |     |     |     |G090-003
Tb II |  3|<|-0.74| 1.20|     |     |     |     |G090-003
Dy II |  1| |-0.95| 0.19| 0.21| 0.24| 0.28| 0.22|G090-003
Er II |  1|<|-0.45| 0.87|     |     |     |     |G090-003
Tm II |  2|<|-1.11| 1.03|     |     |     |     |G090-003
Yb II |  1| |-1.25| 0.07| 0.22| 0.26| 0.30| 0.24|G090-003
Hf II |  2|<|-0.06| 1.33|     |     |     |     |G090-003
Ir I  |  1|<| 1.35| 2.37|     |     |     |     |G090-003
Pb I  |  1|<| 1.22| 1.58|     |     |     |     |G090-003
Fe I  | 89| | 5.47|-2.03| 0.06| 0.10| 0.00| 0.00|G090-025
Fe II |  7| | 5.46|-2.04| 0.07| 0.10| 0.00| 0.00|G090-025
Li I  |  1| | 1.10|     | 0.08| 0.11| 0.10| 0.13|G090-025
C (CH)|  1| | 6.43| 0.04| 0.15| 0.25| 0.19| 0.19|G090-025
N (CN)|  1| | 6.15| 0.36| 0.20| 0.28| 0.23| 0.23|G090-025
O I   |  2| | 7.15| 0.49| 0.13| 0.15| 0.15| 0.17|G090-025
Mg I  |  1| | 5.95| 0.38| 0.05| 0.08| 0.08| 0.11|G090-025
Si I  |  1| | 5.79| 0.31| 0.18| 0.19| 0.19| 0.20|G090-025
K I   |  1| | 3.09| 0.09| 0.12| 0.15| 0.14| 0.16|G090-025
Ca I  |  9| | 4.69| 0.38| 0.10| 0.16| 0.13| 0.17|G090-025
Sc II |  5| | 1.05|-0.06| 0.07| 0.10| 0.12| 0.10|G090-025
Ti I  | 14| | 3.09| 0.17| 0.04| 0.09| 0.07| 0.11|G090-025
Ti II | 18| | 3.15| 0.23| 0.06| 0.09| 0.11| 0.09|G090-025
V I   |  1| | 1.86|-0.04| 0.10| 0.14| 0.12| 0.16|G090-025
V II  |  2| | 1.98| 0.09| 0.20| 0.21| 0.23| 0.21|G090-025
Cr I  | 10| | 3.53|-0.08| 0.05| 0.09| 0.08| 0.11|G090-025
Cr II |  3| | 3.89| 0.29| 0.08| 0.11| 0.13| 0.11|G090-025
Mn I  |  4| | 3.02|-0.38| 0.04| 0.09| 0.07| 0.11|G090-025
Co I  |  2| | 2.70|-0.26| 0.12| 0.17| 0.14| 0.18|G090-025
Ni I  |  8| | 4.17|-0.02| 0.12| 0.14| 0.13| 0.15|G090-025
Zn I  |  2| | 2.68| 0.15| 0.06| 0.09| 0.09| 0.11|G090-025
Sr II |  2| | 0.88| 0.05| 0.03| 0.06| 0.07| 0.10|G090-025
Y II  |  2| |-0.13|-0.31| 0.11| 0.13| 0.14| 0.13|G090-025
Zr II |  3| | 0.79| 0.24| 0.08| 0.11| 0.13| 0.10|G090-025
Nb II |  1|<| 1.18| 1.76|     |     |     |     |G090-025
Mo I  |  1| | 0.15| 0.30| 0.23| 0.24| 0.24| 0.25|G090-025
Tc I  |  1|<| 0.92|     |     |     |     |     |G090-025
Ba II |  2| | 0.04|-0.10| 0.06| 0.09| 0.12| 0.09|G090-025
La II |  2| |-0.98|-0.04| 0.17| 0.19| 0.20| 0.19|G090-025
Ce II |  1| |-0.53|-0.07| 0.19| 0.21| 0.22| 0.21|G090-025
Sm II |  2|<|-0.48| 0.60|     |     |     |     |G090-025
Eu II |  2| |-1.44| 0.07| 0.10| 0.13| 0.15| 0.12|G090-025
Gd II |  1|<| 0.04| 1.01|     |     |     |     |G090-025
Yb II |  1| |-1.17|-0.05| 0.24| 0.25| 0.26| 0.25|G090-025
Hf II |  1|<| 0.09| 1.28|     |     |     |     |G090-025
Pb I  |  1|<| 1.64| 1.63|     |     |     |     |G090-025
Fe I  | 76| | 5.44|-2.06| 0.08| 0.21| 0.00| 0.00|G107-050
Fe II |  9| | 5.61|-1.89| 0.08| 0.15| 0.00| 0.00|G107-050
Li I  |  1| | 2.20|     | 0.07| 0.20| 0.10| 0.21|G107-050
C (CH)|  1| | 6.73| 0.20| 0.15| 0.25| 0.20| 0.20|G107-050
Mg I  |  3| | 6.00| 0.46| 0.09| 0.26| 0.16| 0.25|G107-050
Ca I  | 10| | 4.78| 0.50| 0.12| 0.23| 0.14| 0.23|G107-050
Sc II |  4| | 1.28| 0.02| 0.08| 0.15| 0.21| 0.11|G107-050
Ti I  |  4| | 3.32| 0.43| 0.07| 0.20| 0.10| 0.21|G107-050
Ti II | 15| | 3.40| 0.34| 0.08| 0.15| 0.21| 0.11|G107-050
Cr I  |  6| | 3.44|-0.14| 0.08| 0.22| 0.11| 0.22|G107-050
Cr II |  2| | 3.78| 0.03| 0.08| 0.15| 0.22| 0.12|G107-050
Mn I  |  5| | 3.11|-0.26| 0.10| 0.23| 0.13| 0.23|G107-050
Co I  |  1| | 2.65|-0.28| 0.20| 0.27| 0.21| 0.28|G107-050
Ni I  |  2| | 4.26| 0.10| 0.13| 0.23| 0.15| 0.24|G107-050
Zn I  |  1| | 2.84| 0.34| 0.08| 0.21| 0.11| 0.21|G107-050
Sr II |  2| | 1.35| 0.37| 0.12| 0.23| 0.23| 0.24|G107-050
Y II  |  1| | 0.61| 0.29| 0.11| 0.17| 0.23| 0.14|G107-050
Zr II |  2| | 1.25| 0.56| 0.19| 0.23| 0.28| 0.20|G107-050
Tc I  |  1|<| 2.00|     |     |     |     |     |G107-050
Ba II |  2| |-0.08|-0.37| 0.07| 0.15| 0.21| 0.11|G107-050
Ce II |  2|<| 0.40| 0.71|     |     |     |     |G107-050
Eu II |  1|<|-0.81| 0.56|     |     |     |     |G107-050
Gd II |  2|<| 0.75| 1.57|     |     |     |     |G107-050
Tb II |  2|<| 0.37| 1.96|     |     |     |     |G107-050
Dy II |  1|<| 0.89| 1.68|     |     |     |     |G107-050
Tm II |  1|<| 1.30| 3.09|     |     |     |     |G107-050
Hf II |  1|<| 1.23| 2.27|     |     |     |     |G107-050
Pb I  |  1|<| 2.43| 2.45|     |     |     |     |G107-050
